State,2019,2018,2017,2016,2015,5-Year total,Overdose Rate 2019,Overdose Rate 2018,Overdose Rate 2017,Overdose Rate 2016,Overdose Rate 2015,Poverty Rate 2019,Poverty Rate 2018,Poverty Rate 2017,Poverty Rate 2016,Poverty Rate 2015,Latitude,Longitude
Hawaii,242.0,213.0,203.0,191.0,169.0,1018.0,0.014088196769029254,0.0018296015617410212,0.006816783660135987,0.001648407461468907,0.001459919970469879,12.880570513753456,14.13849087419651,17.603118124450962,14.955103335729422,15.34070083242218,19.898682,-155.66585700000002
Idaho,265.0,250.0,236.0,243.0,218.0,1212.0,0.01863449251596589,0.006380583425235004,0.0006053944700344744,0.006270014699701129,0.005662730376366361,9.187086085729916,15.51272964676835,14.81012405276608,16.027370291328623,16.21003326724217,41.878003,-93.097702
Illinois,2790.0,2722.0,2778.0,2411.0,1835.0,12536.0,0.021847001921831425,0.06668392968740622,0.014031558783947736,0.06054340404598687,0.046582672312097305,12.198872553752434,13.847498605443535,14.690562205870142,15.423953240704353,16.16931519409997,44.068202,-114.74204099999999
Indiana,1699.0,1629.0,1852.0,1526.0,1245.0,7951.0,0.02548868438932848,0.012735336948167648,0.018423160499152255,0.011936817470807402,0.009742120209312387,13.021822304414103,12.344043915882358,15.716099892524932,12.88927537964125,13.040896012139386,40.633125,-89.398528
Iowa,352.0,287.0,341.0,314.0,309.0,1603.0,0.011211947859346115,0.027162314229172323,0.0457426473054093,0.029777399712278243,0.02932632032503813,11.088425320145705,12.592619232622035,10.647439551963513,13.291815672205832,13.687799016951372,40.551217,-85.602364
Kansas,403.0,345.0,333.0,313.0,329.0,1723.0,0.013845695053891705,0.006961364427427775,0.0028682773350275407,0.006474158695488049,0.006886337339269957,11.603551369246478,15.549710699818904,14.504094659698275,16.680204484130556,17.391685658166402,39.011902,-98.484246
Kentucky,1380.0,1315.0,1566.0,1419.0,1273.0,6953.0,0.031017843801331157,0.15214818191600263,0.04019248246583703,0.16673364212544856,0.1509742762603921,16.790318476835065,13.090991554908138,15.725732248769393,13.5478428027232,13.627652130599271,37.839333,-84.27001800000001
Louisiana,1267.0,1140.0,1108.0,996.0,861.0,5372.0,0.02716341484644631,0.01714005029853006,0.02752708175419061,0.015210730467841445,0.013246938472509526,18.683519846872947,15.734385752468505,14.589552081213835,16.80158044987415,17.194772305744262,31.244822999999997,-92.14502399999999
Maine,371.0,345.0,424.0,353.0,269.0,1762.0,0.02778002414091586,0.0012372156622896128,0.0033149590262464227,0.0013095203427307802,0.0010136173652474842,11.466261123241472,15.111739401499612,12.693298661780752,16.312642973746343,16.852617095979465,42.407211,-71.382437
Maryland,2369.0,2324.0,2247.0,2044.0,1285.0,10269.0,0.03935969142267756,0.37185368421557913,0.2127562875306068,0.32638774672694093,0.20507369885924762,8.971667003386695,10.725834710717354,12.889035334397589,11.12544690690125,11.048924041340305,39.045755,-76.641271
Massachusetts,2210.0,2241.0,2168.0,2227.0,1724.0,10570.0,0.03226016936150994,0.07358760076838458,0.044304175137183543,0.07553180051600396,0.05937908898562675,9.940248619345036,10.176301574531664,16.157475185166113,11.49114426099069,12.110062103500782,45.253783,-69.44546899999999
